,file_path,object,iou,precision,recall,f1_score,score
0,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 01.58.47 PM.mov2022-01-26-11h53m35s543.png,pupil,0.8793055349607554,0.952703309869702,0.919441816461684,0.9357770927643413,0.8713553
1,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 01.58.47 PM.mov2022-01-26-11h53m35s543.png,iris,0.898160804984982,0.9884100795916109,0.9077206222085322,0.9463484891545719,0.7812532
2,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 02.51.55 PM.mov2022-01-26-11h53m46s610.png,pupil,0.94686882219354,0.9604421464320042,0.9852941176470589,0.9727094207885064,0.8221238
3,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 02.51.55 PM.mov2022-01-26-11h53m46s610.png,iris,0.8585652244573657,0.9259556795470092,0.9218556111369629,0.9239010965655359,0.85013247
4,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 08.42.34 AM.mov2022-01-26-11h45m04s632.png,pupil,0.8519269776876268,0.9502262443438914,0.89171974522293,0.9200438116100766,0.86415017
5,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 08.42.34 AM.mov2022-01-26-11h45m04s632.png,iris,0.8738041621956565,0.9398693022953378,0.925545879490299,0.9326526003355272,0.88389844
6,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 12.06.40 PM.mov2022-01-26-11h52m40s890.png,pupil,0.8092709267577435,0.8092709267577435,1.0,0.8945823588819571,0.4593568
7,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 12.06.40 PM.mov2022-01-26-11h52m40s890.png,iris,0.8987628268118627,0.9006344030477175,0.9976931949250288,0.9466825599497749,0.6616929
8,./organized_dataset/UIC/total_light_uic/Doctor_2 25& 27ga IOP Control no_date 01.59.15 PM.avi2022-01-26-11h54m27s496.png,pupil,0.8553392280224451,0.8700972972972973,0.9805555555555555,0.9220300148928857,0.8025146
9,./organized_dataset/UIC/total_light_uic/Doctor_2 25& 27ga IOP Control no_date 01.59.15 PM.avi2022-01-26-11h54m27s496.png,iris,0.2758768406961178,0.2758768406961178,1.0,0.43245058127334535,0.74602324
10,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Feb 26, 2021 12.44.11 PM.mov2022-01-26-12h56m02s740.png",pupil,0.9167272776070532,0.9648132194054092,0.948436432700798,0.9565547361036626,0.9081216
11,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Feb 26, 2021 12.44.11 PM.mov2022-01-26-12h56m02s740.png",iris,0.8751946125374538,0.9115549215406562,0.9564102564102565,0.9334440347534577,0.8884179
12,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Mar 26, 2021 11.33.34 AM.mov2022-01-26-12h56m48s613.png",pupil,0.886646322856271,0.9776708502977893,0.9049722173772208,0.9399178978219308,0.8848392
13,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Mar 26, 2021 11.33.34 AM.mov2022-01-26-12h56m48s613.png",iris,0.8441955568654902,0.8834483556309519,0.95,0.9155163114049982,0.89606273
14,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 07.46.42 AM.mov2022-01-26-12h57m15s077.png",pupil,0.836556123960576,0.948787286267005,0.8761170212765957,0.9110052375165352,0.9224855
15,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 07.46.42 AM.mov2022-01-26-12h57m15s077.png",iris,0.8336383654924381,0.8783593510866238,0.9424407033492509,0.9092723856359298,0.91877717
16,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 10.36.18 AM.mov2022-01-26-13h03m31s455.png",pupil,0.83377404912147,0.9371561699268219,0.8831521739130435,0.9093530901704242,0.8790597
17,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 10.36.18 AM.mov2022-01-26-13h03m31s455.png",iris,0.772581356116046,0.7970989301947936,0.9617117117117117,0.8717019994037072,0.8855815
18,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 18, 2021 01.12.00 PM.mov2022-01-26-13h05m21s361.png",pupil,0.9470008706410667,0.9849397590361446,0.960915050913656,0.972779093138524,0.76991415
19,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 18, 2021 01.12.00 PM.mov2022-01-26-13h05m21s361.png",iris,0.8620076991412496,0.9508928571428571,0.9021694214876033,0.9258905852417302,0.72786075
20,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 25, 2021 09.23.58 AM.mov2022-01-26-13h05m51s649.png",pupil,0.9341507720254314,0.9716580066131318,0.9603174603174603,0.965954449401268,0.8684108
21,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 25, 2021 09.23.58 AM.mov2022-01-26-13h05m51s649.png",iris,0.8717927947996192,0.9647058823529412,0.9005145797598628,0.9315056636842619,0.90287745
22,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 03, 2021 12.18.07 PM.mov2022-01-26-13h07m28s468.png",pupil,0.8385193982581156,0.9889807162534435,0.8464274296675192,0.9121681273013071,0.8528838
23,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 03, 2021 12.18.07 PM.mov2022-01-26-13h07m28s468.png",iris,0.904908219004065,1.0,0.904908219004065,0.950080649530899,0.8199247
24,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 10, 2021 10.24.30 AM.mov2022-01-26-13h07m36s923.png",pupil,0.7593484557555245,0.95625,0.7866788044302837,0.8632155310352482,0.84272873
25,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 10, 2021 10.24.30 AM.mov2022-01-26-13h07m36s923.png",iris,0.8782202338546156,0.9587049686738601,0.9127478900222648,0.9351621476809141,0.81391925
26,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 31, 2021 01.39.39 PM.mov2022-01-26-13h07m43s884.png",pupil,0.7876803790652596,0.9911111111111112,0.7932844562058046,0.881231777547529,0.7897261
27,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 31, 2021 01.39.39 PM.mov2022-01-26-13h07m43s884.png",iris,0.8149713052177118,1.0,0.8149713052177118,0.8980542038045646,0.7184908
28,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control May 26, 2021 12.06.50 PM.mov2022-01-26-13h08m10s107.png",pupil,0.8605284350193657,0.9593023255813954,0.8931343283582089,0.925036585114496,0.8500227
29,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control May 26, 2021 12.06.50 PM.mov2022-01-26-13h08m10s107.png",iris,0.9123271676135959,1.0,0.9123271676135959,0.9541538530272456,0.70203567
30,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Sep 08, 2021 12.07.33 PM.mov2022-01-26-13h09m14s620.png",pupil,0.8251137409686029,0.8450936370234211,0.9721448467966574,0.9041778848596124,0.7726283
31,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Sep 08, 2021 12.07.33 PM.mov2022-01-26-13h09m14s620.png",iris,0.8472533529303693,0.9355622148930868,0.8997591812161349,0.917311479322897,0.80197287
32,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga Phaco PPV Feb 24, 2021 09.04.25 AM.mov2022-01-26-13h12m59s629.png",pupil,0.9085538724680468,0.9894551845342706,0.917437080412859,0.95208616908796,0.8883232
33,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga Phaco PPV Feb 24, 2021 09.04.25 AM.mov2022-01-26-13h12m59s629.png",iris,0.8819292136583338,0.9728260869565217,0.9042041882026962,0.9372607718267227,0.88248384
34,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga Phaco PPV Mar 31, 2021 09.19.37 AM.mov2022-01-26-13h14m49s559.png",pupil,0.962565504099491,0.9943019943019943,0.9679045962231803,0.9809257342889629,0.8397091
35,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga Phaco PPV Mar 31, 2021 09.19.37 AM.mov2022-01-26-13h14m49s559.png",iris,0.8612749352270064,0.9055910053685374,0.946236559139785,0.9254677199228096,0.8574654
36,./organized_dataset/UIC/total_light_uic/July292021144104270883.mp42022-01-25-12h48m12s504.png,pupil,0.8776823299907595,1.0,0.8776823299907595,0.9348571011956839,0.8291246
37,./organized_dataset/UIC/total_light_uic/July292021144104270883.mp42022-01-25-12h48m12s504.png,iris,0.8290962201777435,0.9665211062590975,0.8536108080892842,0.9065638111669987,0.8776046
38,./organized_dataset/UIC/total_light_uic/March152021133229778013.mp42022-01-25-12h56m02s397.png,pupil,0.9438001975690418,0.9795031425047918,0.9628155602129416,0.971087665027896,0.8184518
39,./organized_dataset/UIC/total_light_uic/March152021133229778013.mp42022-01-25-12h56m02s397.png,iris,0.5401526097703688,0.5401526097703688,1.0,0.7014273862781736,0.83342695
