,file_path,object,iou,precision,recall,f1_score,score
0,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 01.58.47 PM.mov2022-01-26-11h53m35s543.png,pupil,0.9485426373679555,0.9606927444279548,0.9868421052631579,0.9735918723844031,0.8529139
1,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 01.58.47 PM.mov2022-01-26-11h53m35s543.png,iris,0.9150722182322646,1.0,0.9150722182322646,0.9556529613039193,0.82833654
2,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 02.51.55 PM.mov2022-01-26-11h53m46s610.png,pupil,0.9216458944281525,1.0,0.9216458944281525,0.9592255233916734,0.92790335
3,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 02.51.55 PM.mov2022-01-26-11h53m46s610.png,iris,0.9247993456367262,0.9247993456367262,1.0,0.9609306525723089,0.8289124
4,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 08.42.34 AM.mov2022-01-26-11h45m04s632.png,pupil,0.956975014109076,0.9929411764705882,0.9635300438052732,0.978014545111343,0.91309756
5,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 08.42.34 AM.mov2022-01-26-11h45m04s632.png,iris,0.9181773155027241,0.9793956043956044,0.9362626262626262,0.9573435240652758,0.8730954
6,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 12.06.40 PM.mov2022-01-26-11h52m40s890.png,pupil,0.9560207837352301,0.9743683734569853,0.9806839825380506,0.977515977012889,0.8356751
7,./organized_dataset/UIC/total_light_uic/Default_Doctor_no_date 12.06.40 PM.mov2022-01-26-11h52m40s890.png,iris,0.7800190671487417,1.0,0.7800190671487417,0.8764165300748005,0.7754626
8,./organized_dataset/UIC/total_light_uic/Doctor_2 25& 27ga IOP Control no_date 01.59.15 PM.avi2022-01-26-11h54m27s496.png,pupil,0.8643603603603603,0.8643603603603603,1.0,0.9272460182464822,0.88950247
9,./organized_dataset/UIC/total_light_uic/Doctor_2 25& 27ga IOP Control no_date 01.59.15 PM.avi2022-01-26-11h54m27s496.png,iris,0.9427382121104013,0.9692838018741633,0.9717698154180239,0.9705252166593279,0.7991209
10,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Feb 26, 2021 12.44.11 PM.mov2022-01-26-12h56m02s740.png",pupil,0.9500740284442138,0.9932886095614717,0.9562123387500272,0.9743979096036588,0.8707451
11,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Feb 26, 2021 12.44.11 PM.mov2022-01-26-12h56m02s740.png",iris,0.9054542369418458,1.0,0.9054542369418458,0.9503815094452779,0.8490023
12,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Mar 26, 2021 11.33.34 AM.mov2022-01-26-12h56m48s613.png",pupil,0.9603214364441595,0.9674820821696558,0.9923518164435946,0.9797591543824498,0.86376685
13,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ Mar 26, 2021 11.33.34 AM.mov2022-01-26-12h56m48s613.png",iris,0.9486656748764853,0.9957203994293866,0.952549562010143,0.9736566791392944,0.8840085
14,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 07.46.42 AM.mov2022-01-26-12h57m15s077.png",pupil,0.9521026878434209,0.9521026878434209,1.0,0.9754637333092894,0.87817127
15,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 07.46.42 AM.mov2022-01-26-12h57m15s077.png",iris,0.9047319120826789,0.9614325068870524,0.9388038942976356,0.9499834662752341,0.85769945
16,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 10.36.18 AM.mov2022-01-26-13h03m31s455.png",pupil,0.9374852148362115,0.9730104930477098,0.9625145407497092,0.9677340582085046,0.87681293
17,"./organized_dataset/UIC/total_light_uic/DR. DE LA CRUZ May 14, 2021 10.36.18 AM.mov2022-01-26-13h03m31s455.png",iris,0.8492826304561034,1.0,0.8492826304561034,0.918499548386109,0.8507687
18,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 18, 2021 01.12.00 PM.mov2022-01-26-13h05m21s361.png",pupil,0.9580440462859275,0.9785725179197804,0.9785725179197804,0.9785725179197804,0.91708887
19,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 18, 2021 01.12.00 PM.mov2022-01-26-13h05m21s361.png",iris,0.8860637429029687,0.9804878048780488,0.9019682476085541,0.9395904525890179,0.8390773
20,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 25, 2021 09.23.58 AM.mov2022-01-26-13h05m51s649.png",pupil,0.9052566311706477,0.9885057471264368,0.9148869506925773,0.9502726471178116,0.9069492
21,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Aug 25, 2021 09.23.58 AM.mov2022-01-26-13h05m51s649.png",iris,0.9293422289884924,0.9966386554621849,0.9322642950186408,0.9633772744151504,0.8302506
22,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 03, 2021 12.18.07 PM.mov2022-01-26-13h07m28s468.png",pupil,0.925885403396232,0.9614791987673343,0.961554026709834,0.9615166112827537,0.88994867
23,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 03, 2021 12.18.07 PM.mov2022-01-26-13h07m28s468.png",iris,0.7779544865056721,1.0,0.7779544865056721,0.8751118123778702,0.85885715
24,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 10, 2021 10.24.30 AM.mov2022-01-26-13h07m36s923.png",pupil,0.9328821853912179,1.0,0.9328821853912179,0.9652757860173473,0.90072984
25,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 10, 2021 10.24.30 AM.mov2022-01-26-13h07m36s923.png",iris,0.8184019370460048,1.0,0.8184019370460048,0.9001331557922769,0.85244644
26,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 31, 2021 01.39.39 PM.mov2022-01-26-13h07m43s884.png",pupil,0.8639772187944945,0.9866666666666667,0.8741836342681522,0.9270255130620767,0.8270429
27,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control Mar 31, 2021 01.39.39 PM.mov2022-01-26-13h07m43s884.png",iris,0.9409262154335067,0.9882903981264637,0.9515343147418619,0.9695641266026699,0.78959095
28,"./organized_dataset/UIC/total_light_uic/Dr. Leiderman 25ga IOP Control May 26, 2021 12.06.50 PM.mov2022-01-26-13h08m10s107.png",pupil,0.9071344240175409,0.9196990424076608,0.9851632047477745,0.9513062242425314,0.89114225
